Germany,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
France,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
United Kingdom,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Indonesia,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
India,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Italy,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Japan,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
"Korea, Rep.",Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Mexico,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Russian Federation,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Saudi Arabia,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Turkey,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
United States,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
South Africa,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Military,Change,,0.58,0.51,0.57,-0.16,0.50,-0.97,0.95,-1.31
Australia,Military,Change,,3.38,-0.38,-1.39,0.96,-1.74,2.34,1.31,-0.98
Brazil,Military,Change,,2.93,-2.95,-1.11,-0.22,-8.04,-0.39,5.06,-1.52
Canada,Military,Change,,2.08,-0.94,-1.94,-0.66,0.08,-0.15,3.56,0.28
China,Military,Change,,22.26,19.42,22.49,20.89,13.32,1.94,11.80,22.17
Germany,Military,Change,,1.88,-1.67,-0.54,0.17,-6.29,1.77,3.80,4.09
France,Military,Change,,2.82,-4.57,2.38,1.20,-8.27,2.02,3.06,3.38
United Kingdom,Military,Change,,2.19,-1.77,-1.63,2.32,-5.32,-5.74,-1.69,3.56
Indonesia,Military,Change,,1.17,0.69,1.85,-1.45,0.71,-0.25,0.79,-0.74
India,Military,Change,,3.54,-2.42,0.19,3.51,0.38,5.34,7.92,1.95
Italy,Military,Change,,1.81,-4.05,0.18,-2.26,-5.52,2.85,1.41,1.36
Japan,Military,Change,,6.11,-0.75,-10.99,-2.14,-4.78,4.37,-1.08,1.23
"Korea, Rep.",Military,Change,,2.82,0.96,2.36,3.24,-0.98,0.31,2.29,3.90
Mexico,Military,Change,,0.57,0.51,0.86,0.83,-0.92,-1.72,-0.24,0.79
Russian Federation,Military,Change,,11.52,11.23,6.88,-3.66,-18.28,2.83,-2.72,-5.14
Saudi Arabia,Military,Change,,3.29,7.97,10.52,13.74,6.42,-23.51,6.73,-2.85
Turkey,Military,Change,,-0.63,0.65,0.70,-0.89,-1.89,1.97,-0.03,1.14
United States,Military,Change,,13.16,-26.56,-45.08,-29.79,-13.81,4.00,5.70,43.00
South Africa,Military,Change,,0.41,-0.10,-0.37,-0.23,-0.40,-0.32,0.47,0.00
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Military,Percentchange,,16.59,12.62,12.60,-3.09,10.11,-17.75,21.07,-24.08
Australia,Military,Percentchange,,14.56,-1.43,-5.31,3.86,-6.74,9.72,4.96,-3.54
Brazil,Military,Percentchange,,8.63,-7.98,-3.27,-0.65,-24.62,-1.60,20.88,-5.18
Canada,Military,Percentchange,,10.76,-4.40,-9.47,-3.58,0.47,-0.86,20.02,1.30
China,Military,Percentchange,,19.23,14.08,14.29,11.61,6.63,0.91,5.46,9.73
Germany,Military,Percentchange,,4.07,-3.47,-1.16,0.37,-13.64,4.44,9.14,9.01
France,Military,Percentchange,,4.56,-7.07,3.97,1.92,-13.00,3.64,5.33,5.60
United Kingdom,Military,Percentchange,,3.77,-2.94,-2.79,4.08,-8.99,-10.66,-3.50,7.68
Indonesia,Military,Percentchange,,25.19,11.87,28.37,-17.35,10.24,-3.32,10.73,-9.06
India,Military,Percentchange,,7.69,-4.87,0.40,7.41,0.75,10.41,13.99,3.02
Italy,Military,Percentchange,,5.65,-11.97,0.59,-7.53,-19.93,12.86,5.65,5.14
Japan,Military,Percentchange,,11.17,-1.24,-18.31,-4.37,-10.19,10.37,-2.33,2.71
"Korea, Rep.",Military,Percentchange,,10.00,3.10,7.38,9.45,-2.61,0.86,6.20,9.95
Mexico,Military,Percentchange,,9.74,7.84,12.31,10.54,-10.66,-22.22,-3.96,13.60
Russian Federation,Military,Percentchange,,19.61,15.99,8.45,-4.14,-21.58,4.26,-3.93,-7.73
Saudi Arabia,Military,Percentchange,,7.26,16.42,18.62,20.50,7.95,-26.97,10.57,-4.04
Turkey,Military,Percentchange,,-3.54,3.78,3.92,-4.77,-10.64,12.42,-0.17,6.41
United States,Military,Percentchange,,1.88,-3.73,-6.58,-4.66,-2.26,0.67,0.95,7.10
South Africa,Military,Percentchange,,9.69,-2.28,-8.27,-5.48,-10.37,-9.15,14.80,0.03
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Healthcare,PercentGDP,8.61198493,8.39473866,8.40588238,8.37804641,8.23722377,8.74331517,7.54838404,,
